ID,Country,Use,Typology,From (year),To (year),Energy class,Construction type,Gross floor area (m2),Net floor (heated) area (m2),Net cooled area (m2),Volume (m3),Number of storeys,Number of dwellings or units,Average number of habitants (per dwelling),Number of buildings in stock (31.12.2022),Number of refurbished buildings (light),Number of refurbished buildings (medium),Number of refurbished buildings (deep),"Number of protected buildings (""Denkmalschutz"")",Share of occupied dwellings or units,Share of vacant dwellings or units,Share of secondary dwellings or units,Space heating demand Existing state (kWh/m2a),Space heating demand Light refurbishment (kWh/m2a),Space heating demand Medium refurbishment (kWh/m2a),Space heating demand Deep refurbishment (kWh/m2a),Space cooling demand (kWh/m2a),Energy demand for domestic hot water (kWh/m2GFAa),Final energy consumption space heating - Existing state (kWh/m2a),Final energy consumption space heating - Light refurbishment (kWh/m2a),Final energy consumption space heating - Medium refurbishment (kWh/m2a),Final energy consumption space heating - Deep refurbishment (kWh/m2a),Final energy consumption space cooling (kWh/m2Aa),Final energy consumption domestic hot water (kWh/m2NFAa),Electricity demand  (excl. heating) - B6.1 (kWh/m2NFAa),Electricity demand - B6.2 & B6.3 (kWh/m2NFAa),Energy demand - B8 (kWh/building),Water use per building per year (m3),Element type,Area (m2),ID component (as-built),U-value default (W/m2K),ID component (light refurbishment),U-value light (W/m2K),ID component (medium refurbishment),U-value medium (W/m2K),ID component (deep refurbishment),U-value deep (W/m2K),Energy carriers (current),ID component (current),Share (current),Comment,Energy carriers (exchange),ID component (exchange),Share (exchange)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,298.6025288,DAI_18_a,1.1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,107.2920511,Win_50_k,3.2,,,Win_01_p,1.225,Win_02_p,1.1425,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,2-22,Doo_05_r,,,,Doo_04_r,1-0,Doo_04_r,1-0,,,,,,,
AT-OTH-1945-1969-11,AT,Non-residential,Other non-residential building (OTH),1945,1969,Standard,Steel,870.8416035,802.9159584,122.4961526,2612.524811,3,4,0,24358,2046,602,292,593,0.8,0.2,0,183.98,174.781,109.5386612,68.59810915,82.68,4.71,233.65,221.9675,139.1113609,87.11788349,52.92,4.9,89.1,0,0,22967.41332,Foundation,290.2805345,Efo_61_a,2.44,,,,,,,"oil central heating, condensing boiler",OIL_01_r,0.068887069,,district heating,DIH_01_r,0.294
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,228.9856283,EAm_62_a,2.688571429,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.15,,pellets central heating,PEL_01_r,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,290.2805345,KDo_63_a,1.5,,,REN_02_a,0.175,REN_02_a,0.175,wood central heating,PEL_01_r,0.27,,"electric direct heating, with solar thermal",ELE_01_s,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,566.6685541,AWm_67_a,0.48,,,REN_01_a,0.225,REN_01_a,0.13,heat pump,HEP_01_r,0.05,,heat pump,HEP_01_r,0.691
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",156.7552978,IWm_65_a,,,,,,,,district heating,DIH_01_r,0.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",261.2486719,IWm_62_a,,,,,,,,electric direct heating,ELE_01_r,0.16,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,580.561069,GDm_62_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,294.7585796,DAI_61_a,0.7,REN_03_a,0.2,REN_03_a,0.2,REN_03_a,0.1075,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,120.4373938,Win_50_k,3.4,,,Win_01_p,1.425,Win_02_p,1.3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,2-22,Doo_05_r,,,,Doo_04_r,1-0,Doo_04_r,1-0,,,,,,,
AT-OTH-1970-1979-11,AT,Non-residential,Other non-residential building (OTH),1970,1979,Standard,Steel,1654.784234,1525.711063,232.8318372,4964.352701,3,5,0,10954,920,271,131,267,0.816326531,0.183673469,0,183.93,174.7335,118.0293596,71.66012451,85.67,4.71,233.59,221.9105,149.8965808,91.00792956,54.83,4.9,89.1,0,0,22967.41332,Foundation,551.5947445,Efo_70_a,2.44,,,REN_08_a,0.165,REN_08_a,0.165,"oil central heating, condensing boiler",OIL_01_r,0.068887069,,district heating,DIH_01_r,0.294
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,0,0,,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.15,,pellets central heating,PEL_01_r,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,0,0,,,,,,,,wood central heating,PEL_01_r,0.27,,"electric direct heating, with solar thermal",ELE_01_s,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,718.3065288,AWm_67_a,0.48,,,REN_01_a,0.225,REN_01_a,0.1275,heat pump,HEP_01_r,0.05,,heat pump,HEP_01_r,0.691
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",297.8684003,IWm_65_a,,,,,,,,district heating,DIH_01_r,0.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",496.4280318,IWm_72_a,,,,,,,,electric direct heating,ELE_01_r,0.16,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,1103.189489,GDm_75_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,560.1039826,DAI_61_a,0.6,REN_06_a,0.1975,REN_06_a,0.1975,REN_06_a,0.1175,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,228.8566595,Win_50_k,2.4,,,Win_01_p,1.4,Win_02_p,1.3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,2-22,Doo_05_r,,,,Doo_04_r,1-0,Doo_04_r,1-0,,,,,,,
AT-OTH-1980-1989-11,AT,Non-residential,Other non-residential building (OTH),1980,1989,Standard,Steel,1706.318822,1573.225954,242.0347621,5118.956466,3,5,0,10151,853,251,122,247,0.833333333,0.166666667,0,183.89,174.6955,117.1131253,73.76439908,88.66,4.71,233.54,221.863,148.733478,93.68066649,56.74,4.9,89.1,0,0,22967.41332,Foundation,568.7729407,Efo_80_a,2.44,,,REN_08_a,0.1525,REN_08_a,0.1525,"oil central heating, condensing boiler",OIL_01_r,0.068887069,,district heating,DIH_01_r,0.294
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,0,0,,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.15,,pellets central heating,PEL_01_r,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,0,0,,,,,,,,wood central heating,PEL_01_r,0.27,,"electric direct heating, with solar thermal",ELE_01_s,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,725.8148701,AWm_84_a,0.48,,,REN_01_a,0.2175,REN_01_a,0.1275,heat pump,HEP_01_r,0.05,,heat pump,HEP_01_r,0.691
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",307.1448516,IWm_65_a,,,,,,,,district heating,DIH_01_r,0.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",511.8881829,IWm_82_a,,,,,,,,electric direct heating,ELE_01_r,0.16,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,1137.545881,GDm_82_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,577.5471801,DAI_83_a,0.4,REN_05_a,0.18,REN_05_a,0.18,REN_05_a,0.09,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,235.9838931,Win_80_w,2.1,,,Win_01_p,1.4,Win_02_p,1.3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,2-22,Doo_05_r,,,,Doo_04_r,1-0,Doo_04_r,1-0,,,,,,,
AT-OTH-1990-1999-11,AT,Non-residential,Other non-residential building (OTH),1990,1999,Standard,Steel,2025.036038,1867.083227,284.8498769,0,3,4,0,4084,343,101,49,0,0.810810811,0.189189189,0,183.85,174.6575,150.0510758,123.0343255,91.65,4.71,233.48,221.806,190.5571128,156.2472359,58.65,4.9,89.1,0,0,22967.41332,Foundation,675.0120127,Efo_00_a,0.5,,,,,,,"oil central heating, condensing boiler",OIL_01_r,0.068887069,,district heating,DIH_01_r,0.294
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,0,0,,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.15,,pellets central heating,PEL_01_r,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,0,0,,,,REN_02_a,0.1325,REN_02_a,0.1325,wood central heating,PEL_01_r,0.27,,"electric direct heating, with solar thermal",ELE_01_s,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,767.7184747,AWm_15_a,0.48,,,REN_01_a,0.23,REN_01_a,0.16,heat pump,HEP_01_r,0.05,,heat pump,HEP_01_r,0.691
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",364.5153446,IWm_65_a,,,,,,,,district heating,DIH_01_r,0.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",607.5019536,IWI_01_a,,,,,,,,electric direct heating,ELE_01_r,0.16,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,1350.024025,GDm_82_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,622.3610757,DAm_09_a,0.3,REN_05_a,0.1325,REN_05_a,0.1325,REN_05_a,0.075,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,280.0624841,Win_01_a,1.4,,,Win_01_p,1.4,Win_02_p,1.3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,2-22,Doo_05_r,,,,Doo_04_r,1-0,Doo_04_r,1-0,,,,,,,
AT-OTH-2000-2010-11,AT,Non-residential,Other non-residential building (OTH),2000,2010,Standard,Steel,2333.405181,2151.399577,329.0101305,0,3,4,0,5019,0,0,0,0,0.85106383,0.14893617,0,183.9,0,0,0,95.31,4.71,233.43,0,0,0,61,4.9,89.1,0,0,22967.41332,Foundation,777.801727,Efo_00_a,0.45,,,,,,,"oil central heating, condensing boiler",OIL_01_r,0.068887069,,district heating,DIH_01_r,0.294
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,0,0,,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.15,,pellets central heating,PEL_01_r,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,0,0,,,,,,,,wood central heating,PEL_01_r,0.27,,"electric direct heating, with solar thermal",ELE_01_s,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,802.0224544,AWm_15_a,0.32,,,,,,,heat pump,HEP_01_r,0.05,,heat pump,HEP_01_r,0.691
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",420.0231392,IWm_65_a,,,,,,,,district heating,DIH_01_r,0.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",700.0113477,IWI_01_a,,,,,,,,electric direct heating,ELE_01_r,0.16,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,1555.603454,GDm_07_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,717.1331923,DAm_09_a,0.2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,322.7099365,Win_01_a,1.3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,2-22,Doo_05_r,,,,,,,,,,,,,,
AT-OTH-2011-2022-11,AT,Non-residential,Other non-residential building (OTH),2011,2022,Standard,Steel,2078.887295,1916.734086,300.1291807,0,3,3,0,1125,0,0,0,0,0.833333333,0.166666667,0,183.35,0,0,0,97.06,4.71,232.86,0,0,0,62.12,4.9,89.1,0,0,22967.41332,Foundation,692.9624316,Efu_01_a,0.4,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.8,,district heating,DIH_01_r,0.294
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,0,0,,,,,,,,"gas central heating, condensing boiler, with solar thermal",GAS_01_s,0.04,,pellets central heating,PEL_01_r,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,0,0,,,,,,,,district heating,DIH_01_r,0.13,,"electric direct heating, with solar thermal",ELE_01_s,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,774.1111202,AWm_15_a,0.35,,,,,,,heat pump,HEP_01_r,0.03,,heat pump,HEP_01_r,0.691
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",374.2088064,IWm_65_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",623.6570951,IWI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,1385.924863,GDm_07_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,638.9113619,DAm_09_a,0.191509434,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,287.5101129,Win_01_a,1.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,2-22,Doo_05_r,,,,,,,,,,,,,,
AT-OTH-2011-2022-21,AT,Non-residential,Other non-residential building (OTH),2011,2022,Standard,Concrete,2078.887295,1916.734086,300.1291807,0,3,3,0,951,0,0,0,0,0.833333333,0.166666667,0,183.35,0,0,0,97.06,4.71,232.86,0,0,0,62.12,4.9,89.1,0,0,25781.36379,Foundation,692.9624316,Efu_01_a,0.4,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.8,,district heating,DIH_01_r,0.294
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,0,0,,,,,,,,"gas central heating, condensing boiler, with solar thermal",GAS_01_s,0.04,,pellets central heating,PEL_01_r,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,0,0,,,,,,,,district heating,DIH_01_r,0.13,,"electric direct heating, with solar thermal",ELE_01_s,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,774.1111202,AWm_12_a,0.35,,,,,,,heat pump,HEP_01_r,0.03,,heat pump,HEP_01_r,0.691
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",374.2088064,IWm_10_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",623.6570951,IWI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,1385.924863,GDm_04_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,638.9113619,DAm_02_a,0.191509434,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,287.5101129,Win_01_p,1.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,2-22,Doo_05_r,,,,,,,,,,,,,,
AT-OTH-2011-2022-31,AT,Non-residential,Other non-residential building (OTH),2011,2022,Standard,Wood massive,2078.887295,1916.734086,300.1291807,0,3,3,0,244,0,0,0,0,0.833333333,0.166666667,0,183.35,0,0,0,97.06,4.71,232.86,0,0,0,62.12,4.9,89.1,0,0,48990.07368,Foundation,692.9624316,Efu_01_a,0.4,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.8,,district heating,DIH_01_r,0.294
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,0,0,,,,,,,,"gas central heating, condensing boiler, with solar thermal",GAS_01_s,0.04,,pellets central heating,PEL_01_r,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,0,0,,,,,,,,district heating,DIH_01_r,0.13,,"electric direct heating, with solar thermal",ELE_01_s,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,774.1111202,AWm_11_a,0.35,,,,,,,heat pump,HEP_01_r,0.03,,heat pump,HEP_01_r,0.691
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",374.2088064,IWm_06_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",623.6570951,IWI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,1385.924863,GDh_04_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,638.9113619,DAh_03_a,0.191509434,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,287.5101129,Win_01_m,1.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,2-22,Doo_05_r,,,,,,,,,,,,,,
AT-OTH-2011-2022-12,AT,Non-residential,Other non-residential building (OTH),2011,2022,Advanced,Steel,2078.887295,1916.734086,300.1291807,0,3,3,0,818,0,0,0,0,0.833333333,0.166666667,0,103.626421,0,0,0,97.06,4.71,131.6086632,0,0,0,62.12,4.9,89.1,0,0,50515.76097,Foundation,692.9624316,Efu_01_a,0.2375,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.8,,district heating,DIH_01_r,0.294
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,0,0,,,,,,,,"gas central heating, condensing boiler, with solar thermal",GAS_01_s,0.04,,pellets central heating,PEL_01_r,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,0,0,,,,,,,,district heating,DIH_01_r,0.13,,"electric direct heating, with solar thermal",ELE_01_s,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,774.1111202,AWm_15_a,0.17,,,,,,,heat pump,HEP_01_r,0.03,,heat pump,HEP_01_r,0.691
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",374.2088064,IWm_65_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",623.6570951,IWI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,1385.924863,GDm_07_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,638.9113619,DAm_09_a,0.1675,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,287.5101129,Win_02_a,1.2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,2-22,Doo_05_r,,,,,,,,,,,,,,
AT-OTH-2011-2022-22,AT,Non-residential,Other non-residential building (OTH),2011,2022,Advanced,Concrete,2078.887295,1916.734086,300.1291807,0,3,3,0,692,0,0,0,0,0.833333333,0.166666667,0,103.626421,0,0,0,97.06,4.71,131.6086632,0,0,0,62.12,4.9,89.1,0,0,59951.42006,Foundation,692.9624316,Efu_01_a,0.2375,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.8,,district heating,DIH_01_r,0.294
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,0,0,,,,,,,,"gas central heating, condensing boiler, with solar thermal",GAS_01_s,0.04,,pellets central heating,PEL_01_r,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,0,0,,,,,,,,district heating,DIH_01_r,0.13,,"electric direct heating, with solar thermal",ELE_01_s,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,774.1111202,AWm_12_a,0.17,,,,,,,heat pump,HEP_01_r,0.03,,heat pump,HEP_01_r,0.691
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",374.2088064,IWm_10_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",623.6570951,IWI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,1385.924863,GDm_04_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,638.9113619,DAm_02_a,0.1675,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,287.5101129,Win_02_p,1.2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,2-22,Doo_05_r,,,,,,,,,,,,,,
AT-OTH-2011-2022-32,AT,Non-residential,Other non-residential building (OTH),2011,2022,Advanced,Wood massive,2078.887295,1916.734086,300.1291807,0,3,3,0,178,0,0,0,0,0.833333333,0.166666667,0,103.626421,0,0,0,97.06,4.71,131.6086632,0,0,0,62.12,4.9,89.1,0,0,69080.72328,Foundation,692.9624316,Efu_01_a,0.2375,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.8,,district heating,DIH_01_r,0.294
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,0,0,,,,,,,,"gas central heating, condensing boiler, with solar thermal",GAS_01_s,0.04,,pellets central heating,PEL_01_r,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,0,0,,,,,,,,district heating,DIH_01_r,0.13,,"electric direct heating, with solar thermal",ELE_01_s,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,774.1111202,AWm_11_a,0.17,,,,,,,heat pump,HEP_01_r,0.03,,heat pump,HEP_01_r,0.691
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",374.2088064,IWm_06_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",623.6570951,IWI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,1385.924863,GDh_04_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,638.9113619,DAh_03_a,0.1675,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,287.5101129,Win_02_m,1.2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,2-22,Doo_05_r,,,,,,,,,,,,,,
AT-OTH-2011-2022-13,AT,Non-residential,Other non-residential building (OTH),2011,2022,Passive,Steel,2078.887295,1916.734086,300.1291807,0,3,3,0,103,0,0,0,0,0.833333333,0.166666667,0,15,0,0,0,97.06,4.71,19.05044996,0,0,0,62.12,4.9,89.1,0,0,61545.69258,Foundation,692.9624316,Efu_01_a,0.15,,,,,,,district heating,DIH_01_r,0.34,,district heating,DIH_01_r,0.34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,0,0,,,,,,,,"pellets central heating, with solar thermal",PEL_01_s,0.01,,"pellets central heating, with solar thermal",PEL_01_r,0.01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,0,0,,,,,,,,"electric direct heating, with solar thermal",ELE_01_s,0.01,,"electric direct heating, with solar thermal",ELE_01_s,0.01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,774.1111202,AWm_15_a,,,,,,,,heat pump,HEP_01_r,0.64,,heat pump,HEP_01_r,0.64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",374.2088064,IWm_65_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",623.6570951,IWI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,1385.924863,GDm_07_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,638.9113619,DAm_09_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,287.5101129,Win_02_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,2-22,Doo_05_r,,,,,,,,,,,,,,
AT-OTH-2011-2022-23,AT,Non-residential,Other non-residential building (OTH),2011,2022,Passive,Concrete,2078.887295,1916.734086,300.1291807,0,3,3,0,87,0,0,0,0,0.833333333,0.166666667,0,15,0,0,0,97.06,4.71,19.05044996,0,0,0,62.12,4.9,89.1,0,0,61545.69258,Foundation,692.9624316,Efu_01_a,0.15,,,,,,,district heating,DIH_01_r,0.34,,district heating,DIH_01_r,0.34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,0,0,,,,,,,,"pellets central heating, with solar thermal",PEL_01_s,0.01,,"pellets central heating, with solar thermal",PEL_01_r,0.01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,0,0,,,,,,,,"electric direct heating, with solar thermal",ELE_01_s,0.01,,"electric direct heating, with solar thermal",ELE_01_s,0.01
